" "," ","收盘价格","最高价格","最低价格","开盘价格","总交易金额","总交易量"
"09:30","平安银行",9.16,9.16,9.16,9.16,12855144,1403400
"09:31","平安银行",9.16,9.17,9.16,9.16,13092917.4,1428640
"09:32","平安银行",9.17,9.18,9.16,9.17,17327056.9,1889000
"09:33","平安银行",9.17,9.19,9.17,9.17,16044672.72,1746600
"09:34","平安银行",9.17,9.18,9.17,9.18,1629248.0,177500
"09:35","平安银行",9.18,9.18,9.17,9.18,2760459.0,300800
"09:36","平安银行",9.19,9.19,9.18,9.18,5880200.08,640406
"09:37","平安银行",9.19,9.2,9.19,9.19,11871833,1291800
"09:38","平安银行",9.19,9.19,9.18,9.19,5228497.2,568940
"09:39","平安银行",9.19,9.19,9.18,9.19,3284028.0,357400
"09:40","平安银行",9.19,9.19,9.18,9.18,1484629.8,161560
"09:41","平安银行",9.19,9.19,9.18,9.19,2274292.2,247540
"09:42","平安银行",9.19,9.19,9.18,9.19,9273148.94,1009146
"09:43","平安银行",9.2,9.2,9.19,9.19,1764740.76,191904
"09:44","平安银行",9.2,9.2,9.19,9.2,5544326.0,602700
"09:45","平安银行",9.2,9.2,9.19,9.2,9595803.0,1044000
"09:46","平安银行",9.19,9.2,9.19,9.19,7175089.2,780180
"09:47","平安银行",9.2,9.2,9.19,9.2,5838005.16,634664
"09:48","平安银行",9.19,9.2,9.19,9.2,19331938.34,2103286
"09:49","平安银行",9.19,9.19,9.18,9.19,4595884.2,500240
"09:50","平安银行",9.18,9.19,9.18,9.18,751045.52,81764
"09:51","平安银行",9.19,9.19,9.18,9.19,1421839.0,154800
"09:52","平安银行",9.18,9.19,9.18,9.19,1066569.6,116120
"09:53","平安银行",9.19,9.19,9.18,9.18,1184444.0,128900
"09:54","平安银行",9.18,9.19,9.18,9.19,2138328.0,232900
"09:55","平安银行",9.19,9.19,9.18,9.18,1565910.0,170500
"09:56","平安银行",9.19,9.19,9.18,9.18,949236.66,103337
"09:57","平安银行",9.18,9.19,9.18,9.19,1144482.16,124612
"09:58","平安银行",9.19,9.19,9.18,9.19,797272.0,86800
"09:59","平安银行",9.19,9.19,9.18,9.18,2049102.0,223100
"10:00","平安银行",9.18,9.19,9.18,9.18,2314456.2,251940
"10:01","平安银行",9.19,9.19,9.18,9.19,2311300.4,251680
"10:02","平安银行",9.18,9.19,9.18,9.19,2030763.52,221164
"10:03","平安银行",9.19,9.19,9.18,9.19,6828853.54,743553
"10:04","平安银行",9.18,9.19,9.18,9.19,2659049.52,289564
"10:05","平安银行",9.19,9.19,9.18,9.18,10920171.6,1188320
"10:06","平安银行",9.18,9.19,9.18,9.19,6136598.8,667760
"10:07","平安银行",9.19,9.19,9.18,9.18,3896362.0,424000
"10:08","平安银行",9.2,9.2,9.19,9.19,1790906.17,194843
"10:09","平安银行",9.2,9.2,9.19,9.19,5340376.8,580520
"10:10","平安银行",9.19,9.2,9.19,9.19,8815594.2,958380
"10:11","平安银行",9.2,9.2,9.19,9.2,1134214.6,123340
"10:12","平安银行",9.2,9.2,9.19,9.2,3616865.4,393160
"10:13","平安银行",9.19,9.2,9.19,9.2,6183990.0,672200
"10:14","平安银行",9.21,9.21,9.19,9.2,2055161.4,223352
"10:15","平安银行",9.21,9.21,9.2,9.21,2769156.0,300820
"10:16","平安银行",9.21,9.21,9.2,9.2,2003568.8,217734
"10:17","平安银行",9.2,9.21,9.2,9.2,2421253.0,263000
"10:18","平安银行",9.21,9.21,9.2,9.21,3443013.0,373900
"10:19","平安银行",9.2,9.21,9.2,9.21,5749832.0,624800
"10:20","平安银行",9.21,9.21,9.2,9.21,8362509.0,908080
"10:21","平安银行",9.2,9.21,9.2,9.2,1904543.6,206928
"10:22","平安银行",9.2,9.21,9.2,9.21,4861019.4,528317
"10:23","平安银行",9.2,9.21,9.2,9.21,7670468.0,833480
"10:24","平安银行",9.2,9.21,9.2,9.2,2699335.0,293300
"10:25","平安银行",9.2,9.21,9.2,9.2,5128680.0,557400
"10:26","平安银行",9.2,9.21,9.2,9.21,2432619.0,264400
"10:27","平安银行",9.2,9.21,9.2,9.2,3057365.0,332300
"10:28","平安银行",9.2,9.21,9.2,9.21,2336323.0,253800
"10:29","平安银行",9.21,9.21,9.2,9.21,855017.4,92902
"10:30","平安银行",9.2,9.21,9.2,9.21,1015168.2,110301
"10:31","平安银行",9.21,9.21,9.2,9.21,1617611.0,175760
"10:32","平安银行",9.2,9.21,9.2,9.21,1758466.6,191048
