,code
0,603999
1,603998
2,603997
3,603996
4,603993
5,603989
6,603988
7,603986
8,603979
9,603977
10,603969
11,603968
12,603959
13,603958
14,603939
15,603936
16,603919
17,603918
18,603909
19,603901
20,603899
21,603898
22,603889
23,603888
24,603887
25,603885
26,603883
27,603869
28,603868
29,603866
30,603861
31,603859
32,603858
33,603843
34,603838
35,603828
36,603822
37,603818
38,603816
39,603808
40,603806
41,603800
42,603799
43,603798
44,603789
45,603788
46,603779
47,603778
48,603777
49,603766
50,603738
51,603737
52,603729
53,603726
54,603718
55,603716
56,603703
57,603701
58,603699
59,603698
60,603696
61,603688
62,603686
63,603678
64,603669
65,603667
66,603663
67,603658
68,603636
69,603633
70,603618
71,603616
72,603611
73,603609
74,603608
75,603606
76,603601
77,603600
78,603599
79,603598
80,603589
81,603588
82,603569
83,603568
84,603567
85,603566
86,603558
87,603556
88,603555
89,603528
90,603520
91,603519
92,603518
93,603515
94,603508
95,603456
96,603421
97,603399
98,603398
99,603393
100,603377
101,603369
102,603368
103,603366
104,603355
105,603339
106,603338
107,603333
108,603328
109,603322
110,603318
111,603315
112,603313
113,603311
114,603309
115,603308
116,603306
117,603300
118,603299
119,603288
120,603268
121,603258
122,603227
123,603223
124,603222
125,603203
126,603199
127,603198
128,603189
129,603188
130,603169
131,603168
132,603167
133,603166
134,603160
135,603159
136,603158
137,603131
138,603128
139,603126
140,603123
141,603118
142,603117
143,603116
144,603111
145,603108
146,603101
147,603100
148,603099
149,603090
150,603088
151,603085
152,603077
153,603069
154,603067
155,603066
156,603060
157,603031
158,603030
159,603029
160,603028
161,603027
162,603026
163,603025
164,603023
165,603022
166,603021
167,603020
168,603019
169,603018
170,603017
171,603016
172,603015
173,603012
174,603011
175,603010
176,603009
177,603008
178,603007
179,603006
180,603005
181,603003
182,603002
183,603001
184,603000
185,601999
186,601998
187,601997
188,601996
189,601992
190,601991
191,601989
192,601988
193,601985
194,601969
195,601968
196,601966
197,601965
198,601958
199,601939
200,601933
201,601929
202,601928
203,601919
204,601908
205,601901
206,601900
207,601899
208,601898
209,601890
210,601888
211,601886
212,601882
213,601880
214,601877
215,601872
216,601866
217,601857
218,601818
219,601811
220,601808
221,601801
222,601800
223,601799
224,601798
225,601789
226,601788
227,601777
228,601766
229,601727
230,601718
231,601717
232,601700
233,601699
234,601689
235,601688
236,601678
237,601677
238,601669
239,601668
240,601666
241,601636
242,601633
243,601628
244,601618
245,601616
246,601611
247,601608
248,601607
249,601601
250,601600
251,601599
252,601595
253,601588
254,601579
255,601567
256,601566
257,601558
258,601555
259,601519
260,601518
261,601515
262,601500
263,601398
264,601390
265,601388
266,601377
267,601369
268,601368
269,601339
270,601336
271,601333
272,601328
273,601318
274,601313
275,601311
276,601288
277,601258
278,601238
279,601233
280,601231
281,601229
282,601226
283,601225
284,601222
285,601218
286,601216
287,601211
288,601208
289,601199
290,601198
291,601188
292,601186
293,601179
294,601177
295,601169
296,601168
297,601166
298,601163
299,601158
300,601155
301,601139
302,601137
303,601128
304,601127
305,601126
306,601118
307,601117
308,601116
309,601113
310,601111
311,601107
312,601106
313,601101
314,601100
315,601099
316,601098
317,601088
318,601069
319,601058
320,601038
321,601028
322,601021
323,601020
324,601018
325,601016
326,601015
327,601012
328,601011
329,601010
330,601009
331,601008
332,601007
333,601006
334,601005
335,601003
336,601002
337,601001
338,601000
339,600999
340,600998
341,600997
342,600995
343,600993
344,600992
345,600990
346,600988
347,600987
348,600986
349,600985
350,600984
351,600983
352,600982
353,600981
354,600980
355,600979
356,600978
357,600977
358,600976
359,600975
360,600973
361,600971
362,600970
363,600969
364,600967
365,600966
366,600965
367,600963
368,600962
369,600961
370,600960
371,600959
372,600958
373,600936
374,600926
375,600919
376,600917
377,600908
378,600900
379,600898
380,600897
381,600896
382,600895
383,600894
384,600893
385,600892
386,600891
387,600890
388,600889
389,600888
390,600887
391,600886
392,600885
393,600884
394,600883
395,600882
396,600881
397,600880
398,600879
399,600877
400,600876
401,600875
402,600874
403,600873
404,600872
405,600871
406,600870
407,600869
408,600868
409,600867
410,600865
411,600864
412,600863
413,600862
414,600861
415,600860
416,600859
417,600858
418,600857
419,600856
420,600855
421,600854
422,600853
423,600851
424,600850
425,600848
426,600847
427,600846
428,600845
429,600844
430,600843
431,600841
432,600839
433,600838
434,600837
435,600836
436,600835
437,600834
438,600833
439,600831
440,600830
441,600829
442,600828
443,600827
444,600826
445,600825
446,600824
447,600823
448,600822
449,600821
450,600820
451,600819
452,600818
453,600816
454,600815
455,600814
456,600812
457,600811
458,600810
459,600809
460,600808
461,600807
462,600805
463,600804
464,600803
465,600802
466,600801
467,600800
468,600798
469,600797
470,600796
471,600795
472,600794
473,600792
474,600791
475,600790
476,600789
477,600787
478,600785
479,600784
480,600783
481,600782
482,600781
483,600780
484,600779
485,600778
486,600777
487,600776
488,600775
489,600774
490,600773
491,600771
492,600770
493,600769
494,600768
495,600767
496,600766
497,600765
498,600764
499,600763
500,600761
501,600759
502,600758
503,600757
504,600756
505,600755
506,600754
507,600753
508,600751
509,600750
510,600749
511,600748
512,600747
513,600746
514,600745
515,600744
516,600743
517,600742
518,600741
519,600740
520,600739
521,600738
522,600737
523,600736
524,600735
525,600734
526,600733
527,600731
528,600730
529,600729
530,600728
531,600727
532,600726
533,600724
534,600723
535,600722
536,600720
537,600719
538,600718
539,600717
540,600716
541,600715
542,600714
543,600713
544,600712
545,600711
546,600708
547,600707
548,600706
549,600705
550,600704
551,600703
552,600702
553,600699
554,600698
555,600697
556,600696
557,600695
558,600694
559,600693
560,600692
561,600691
562,600690
563,600689
564,600688
565,600687
566,600686
567,600685
568,600684
569,600683
570,600682
571,600681
572,600680
573,600679
574,600678
575,600677
576,600676
577,600674
578,600673
579,600671
580,600668
581,600667
582,600666
583,600665
584,600664
585,600663
586,600662
587,600661
588,600660
589,600658
590,600657
591,600655
592,600654
593,600653
594,600652
595,600651
596,600650
597,600649
598,600648
599,600647
600,600645
601,600644
602,600643
603,600642
604,600641
605,600640
606,600639
607,600638
608,600637
609,600636
610,600635
611,600634
612,600633
613,600630
614,600629
615,600628
616,600626
617,600624
618,600623
619,600622
620,600621
621,600620
622,600619
623,600618
624,600617
625,600616
626,600615
627,600614
628,600613
629,600612
630,600611
631,600610
632,600609
633,600608
634,600606
635,600605
636,600604
637,600602
638,600601
639,600600
640,600599
641,600598
642,600597
643,600596
644,600595
645,600594
646,600593
647,600592
648,600590
649,600589
650,600588
651,600587
652,600586
653,600585
654,600584
655,600583
656,600582
657,600580
658,600579
659,600578
660,600577
661,600576
662,600575
663,600573
664,600572
665,600571
666,600570
667,600569
668,600568
669,600567
670,600566
671,600565
672,600563
673,600562
674,600561
675,600560
676,600559
677,600558
678,600557
679,600555
680,600552
681,600551
682,600550
683,600549
684,600548
685,600547
686,600545
687,600543
688,600540
689,600538
690,600537
691,600536
692,600535
693,600533
694,600532
695,600531
696,600530
697,600529
698,600528
699,600527
700,600526
701,600525
702,600523
703,600522
704,600521
705,600519
706,600518
707,600517
708,600516
709,600515
710,600513
711,600512
712,600511
713,600510
714,600509
715,600508
716,600507
717,600506
718,600505
719,600503
720,600502
721,600501
722,600500
723,600499
724,600498
725,600497
726,600496
727,600495
728,600493
729,600491
730,600490
731,600489
732,600488
733,600487
734,600486
735,600485
736,600483
737,600482
738,600481
739,600480
740,600479
741,600478
742,600477
743,600476
744,600475
745,600470
746,600469
747,600468
748,600467
749,600466
750,600463
751,600462
752,600461
753,600460
754,600459
755,600458
756,600456
757,600455
758,600452
759,600449
760,600448
761,600446
762,600444
763,600439
764,600438
765,600436
766,600435
767,600433
768,600429
769,600428
770,600426
771,600425
772,600423
773,600422
774,600421
775,600420
776,600419
777,600418
778,600416
779,600415
780,600410
781,600409
782,600408
783,600406
784,600405
785,600403
786,600401
787,600400
788,600399
789,600398
790,600397
791,600396
792,600395
793,600393
794,600392
795,600391
796,600389
797,600388
798,600387
799,600386
800,600385
